last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Machado, Manny,592518,2021,640,473,.278,.290,-0.012,.489,.517,-0.028,.350,.376,-0.026
Ruf, Darin,573131,2021,312,176,.271,.257,0.014,.519,.499,0.020,.384,.376,0.008
Hoskins, Rhys,656555,2021,443,283,.247,.247,0.000,.530,.553,-0.023,.364,.375,-0.011
Alonso, Pete,624413,2021,637,438,.262,.267,-0.005,.519,.529,-0.010,.363,.373,-0.010
Correa, Carlos,621043,2021,640,445,.279,.293,-0.014,.485,.475,0.010,.364,.372,-0.008
Ramírez, José,608070,2021,636,470,.266,.278,-0.012,.538,.496,0.042,.372,.372,-0.000
Castellanos, Nick,592206,2021,585,416,.309,.289,0.020,.576,.522,0.054,.391,.371,0.020
Martinez, J.D.,502110,2021,634,425,.286,.285,0.001,.518,.522,-0.004,.363,.371,-0.008
Perez, Salvador,521692,2021,665,454,.273,.273,0.000,.544,.554,-0.010,.359,.369,-0.010
Marte, Ketel,606466,2021,374,281,.318,.303,0.015,.532,.487,0.045,.385,.368,0.017
Belt, Brandon,474832,2021,381,223,.274,.238,0.036,.597,.506,0.091,.406,.368,0.038
Hernández, Teoscar,606192,2021,595,404,.296,.279,0.017,.524,.523,0.001,.369,.365,0.004
Cron, C.J.,543068,2021,547,357,.281,.261,0.020,.530,.480,0.050,.383,.363,0.020
García, Avisaíl,541645,2021,515,345,.262,.274,-0.012,.490,.504,-0.014,.346,.363,-0.017
Riley, Austin,663586,2021,662,430,.303,.275,0.028,.531,.498,0.033,.379,.361,0.018
Bell, Josh,605137,2021,568,400,.261,.273,-0.012,.476,.474,0.002,.352,.361,-0.009
Brantley, Michael,488726,2021,508,417,.311,.310,0.001,.437,.460,-0.023,.347,.360,-0.013
Pollock, AJ,572041,2021,422,306,.297,.281,0.016,.536,.493,0.043,.375,.360,0.015
Cooper, Garrett,643265,2021,250,148,.284,.268,0.016,.465,.454,0.011,.367,.360,0.007
Posey, Buster,457763,2021,454,310,.304,.278,0.026,.499,.460,0.039,.379,.359,0.020
Smith, Will,669257,2021,501,324,.258,.246,0.012,.495,.457,0.038,.364,.359,0.005
Turner, Trea,607208,2021,646,489,.328,.296,0.032,.536,.471,0.065,.386,.357,0.029
Turner, Justin,457759,2021,612,441,.278,.267,0.011,.471,.460,0.011,.358,.357,0.001
Stanton, Giancarlo,519317,2021,579,356,.273,.258,0.015,.516,.488,0.028,.370,.357,0.013
Cruz, Nelson,443558,2021,584,396,.265,.263,0.002,.497,.507,-0.010,.344,.357,-0.013
Springer, George,543807,2021,342,221,.264,.245,0.019,.555,.498,0.057,.380,.357,0.023
Lowe, Brandon,664040,2021,615,371,.247,.246,0.001,.523,.488,0.035,.363,.357,0.006
Bogaerts, Xander,593428,2021,603,423,.295,.276,0.019,.493,.459,0.034,.368,.356,0.012
Candelario, Jeimer,600869,2021,626,422,.271,.276,-0.005,.443,.456,-0.013,.344,.354,-0.010
Blackmon, Charlie,453568,2021,582,426,.270,.288,-0.018,.411,.448,-0.037,.333,.354,-0.021
Betts, Mookie,605141,2021,550,385,.264,.258,0.006,.487,.436,0.051,.365,.354,0.011
Bichette, Bo,666182,2021,690,507,.298,.287,0.011,.484,.480,0.004,.354,.353,0.001
India, Jonathan,663697,2021,631,396,.269,.255,0.014,.459,.434,0.025,.363,.353,0.010
Renfroe, Hunter,592669,2021,572,397,.259,.257,0.002,.501,.495,0.006,.344,.351,-0.007
Reyes, Franmil,614177,2021,466,272,.254,.245,0.009,.522,.506,0.016,.354,.351,0.003
Haniger, Mitch,571745,2021,691,459,.253,.258,-0.005,.485,.488,-0.003,.340,.351,-0.011
Pham, Tommy,502054,2021,561,351,.229,.254,-0.025,.383,.432,-0.049,.318,.351,-0.033
Soler, Jorge,624585,2021,602,379,.223,.246,-0.023,.432,.483,-0.051,.319,.351,-0.032
Gallo, Joey,608336,2021,616,286,.199,.199,0.000,.458,.453,0.005,.348,.351,-0.003
Crawford, Brandon,543063,2021,549,383,.298,.255,0.043,.522,.479,0.043,.377,.350,0.027
