last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
Quintana, José,500779,2021,297,176,.286,.253,0.033,.483,.432,0.051,.366,.342,0.024,6.43,5.13,1.30
Gonzales, Marco,594835,2021,585,430,.234,.255,-0.021,.465,.478,-0.013,.321,.340,-0.019,3.96,5.06,-1.10
Allard, Kolby,663465,2021,534,395,.258,.262,-0.004,.474,.473,0.001,.331,.340,-0.009,5.41,5.06,0.35
Smyly, Drew,592767,2021,546,385,.269,.264,0.005,.480,.462,0.018,.341,.339,0.002,4.48,5.02,-0.54
Irvin, Cole,608344,2021,768,591,.275,.280,-0.005,.424,.441,-0.017,.322,.338,-0.016,4.24,4.99,-0.75
Underwood Jr., Duane,621249,2021,320,224,.270,.272,-0.002,.439,.433,0.006,.333,.338,-0.005,4.33,4.99,-0.66
Hendricks, Kyle,543294,2021,785,597,.278,.275,0.003,.481,.449,0.032,.345,.338,0.007,4.77,4.99,-0.22
Moore, Matt,519043,2021,334,231,.274,.249,0.025,.509,.437,0.072,.368,.338,0.030,6.29,4.99,1.30
Mize, Casey,663554,2021,612,442,.234,.252,-0.018,.418,.456,-0.038,.308,.337,-0.029,3.71,4.96,-1.25
Pineda, Michael,501381,2021,458,347,.265,.278,-0.013,.453,.466,-0.013,.320,.336,-0.016,3.62,4.92,-1.30
Cueto, Johnny,456501,2021,490,358,.285,.274,0.011,.465,.443,0.022,.342,.336,0.006,4.08,4.92,-0.84
Espino, Paolo,502179,2021,455,337,.256,.268,-0.012,.460,.474,-0.014,.319,.335,-0.016,4.27,4.89,-0.62
Flaherty, Jack,656427,2021,322,205,.199,.240,-0.041,.364,.445,-0.081,.280,.334,-0.054,3.22,4.86,-1.64
Fedde, Erick,607200,2021,590,409,.275,.261,0.014,.466,.448,0.018,.340,.334,0.006,5.47,4.86,0.61
Snell, Blake,605483,2021,550,308,.214,.230,-0.016,.375,.422,-0.047,.305,.333,-0.028,4.20,4.83,-0.63
Hearn, Taylor,621368,2021,441,303,.247,.255,-0.008,.424,.429,-0.005,.320,.333,-0.013,4.66,4.83,-0.17
Stripling, Ross,548389,2021,431,305,.251,.251,0.000,.489,.455,0.034,.335,.333,0.002,4.80,4.83,-0.03
King, Michael,650633,2021,275,183,.236,.255,-0.019,.355,.411,-0.056,.297,.332,-0.035,3.55,4.79,-1.24
Robles, Hansel,570663,2021,297,179,.228,.230,-0.002,.398,.416,-0.018,.321,.332,-0.011,4.43,4.79,-0.36
Kuhl, Chad,641771,2021,349,223,.252,.238,0.014,.445,.395,0.050,.347,.332,0.015,4.82,4.79,0.03
Mills, Alec,621219,2021,517,389,.291,.278,0.013,.451,.424,0.027,.343,.332,0.011,5.07,4.79,0.28
Civale, Aaron,650644,2021,498,364,.236,.259,-0.023,.443,.451,-0.008,.311,.330,-0.019,3.84,4.73,-0.89
Dunning, Dane,641540,2021,511,347,.275,.261,0.014,.427,.410,0.017,.336,.330,0.006,4.51,4.73,-0.22
Fleming, Josh,676596,2021,448,349,.268,.275,-0.007,.407,.428,-0.021,.313,.330,-0.017,5.09,4.73,0.36
Bundy, Dylan,605164,2021,397,273,.253,.243,0.010,.491,.443,0.048,.348,.330,0.018,6.06,4.73,1.33
Colomé, Alex,517008,2021,290,205,.264,.251,0.013,.411,.435,-0.024,.319,.329,-0.010,4.15,4.70,-0.55
